y/m,rainfall,rainfall,max_rainfall_per_day,max_rainfall_per_day,>=50mm,>=15m/s,avg wind
1951/6,122.8,0,26.2,0,0,,
1951/7,496.0,0,109.4,0,4,,
1951/8,49.2,0,25.6,0,0,,
1951/9,95.3,0,32.9,0,0,,
1951/10,54.7,0,30.2,0,0,,
1951/11,116.9,0,33.3,0,0,,
1951/12,41.6,0,13.0,0,0,,
1952/1,61.1,0,22.1,0,0,,
1952/2,62.2,0,26.1,0,0,,
1952/3,121.7,0,19.7,0,0,,
1952/4,216.0,0,60.2,0,1,,
1952/5,139.7,0,55.3,0,1,,
1952/6,210.6,0,115.9,0,1,,
1952/7,421.4,0,95.7,0,3,,
1952/8,68.1,0,41.5,0,0,,
1952/9,160.4,0,44.6,0,0,,
1952/10,100.7,0,50.1,0,1,,
1952/11,102.8,0,42.5,0,0,,
1952/12,16.0,0,8.2,0,0,,
1953/1,43.5,0,25.0,0,0,,
1953/2,88.1,0,41.5,0,0,,
1953/3,105.5,0,24.7,0,0,,
1953/4,68.9,0,18.9,0,0,,
1953/5,185.0,0,49.8,0,0,,
1953/6,271.6,0,86.1,0,1,,
1953/7,195.5,0,54.9,0,1,,
1953/8,90.9,0,31.7,0,0,,
1953/9,360.7,0,116.2,0,1,,
1953/10,28.2,0,6.1,0,0,,
1953/11,41.3,0,17.8,0,0,,
1953/12,35.9,0,19.8,0,0,,
1954/1,63.8,0,12.8,0,0,,
1954/2,65.1,0,22.2,0,0,,
1954/3,60.3,0,21.6,0,0,,
1954/4,136.7,0,50.6,0,1,,
1954/5,158.9,0,46.9,0,0,,
1954/6,435.1,0,175.8,0,3,,
1954/7,361.0,0,112.7,0,3,,
1954/8,95.6,0,53.0,0,1,,
1954/9,236.8,0,57.8,0,1,,
1954/10,36.2,0,8.9,0,0,,
1954/11,40.3,0,27.4,0,0,,
1954/12,39.6,0,11.3,0,0,,
1955/1,49.6,0,18.9,0,0,,
1955/2,88.5,0,42.8,0,0,,
1955/3,126.1,0,25.7,0,0,,
1955/4,168.8,0,43.1,0,0,,
1955/5,74.4,0,20.7,0,0,,
1955/6,160.7,0,67.1,0,1,,
1955/7,110.3,0,32.9,0,0,,
1955/8,106.0,0,73.4,0,1,,
1955/9,56.7,0,30.6,0,0,,
1955/10,114.5,0,19.8,0,0,,
1955/11,79.9,0,35.7,0,0,,
1955/12,29.2,0,25.2,0,0,,
1956/1,39.9,0,18.9,0,0,,
1956/2,40.5,0,23.6,0,0,,
1956/3,179.1,0,35.9,0,0,,
1956/4,87.6,0,19.4,0,0,,
1956/5,234.1,0,43.2,0,0,,
1956/6,159.1,0,44.3,0,0,,
1956/7,95.5,0,34.4,0,0,,
1956/8,103.5,0,24.7,0,0,,
1956/9,230.4,0,83.7,0,2,,
1956/10,122.0,0,55.1,0,1,,
1956/11,26.8,0,23.0,0,0,,
1956/12,4.2,0,2.2,0,0,,
1957/1,41.7,0,15.3,0,0,,
1957/2,40.3,0,15.6,0,0,,
1957/3,36.1,0,16.0,0,0,,
1957/4,129.3,0,46.0,0,0,,
1957/5,115.2,0,31.3,0,0,,
1957/6,235.0,0,165.6,0,1,,
1957/7,261.4,0,51.7,0,1,,
1957/8,116.0,0,38.7,0,0,,
1957/9,286.1,0,57.1,0,2,,
1957/10,45.9,0,18.0,0,0,,
1957/11,32.9,0,17.0,0,0,,
1957/12,45.7,0,13.3,0,0,,
1958/1,56.2,0,15.8,0,0,,
1958/2,59.4,0,21.4,0,0,,
1958/3,101.4,0,39.1,0,0,,
1958/4,224.4,0,39.8,0,0,,
1958/5,82.4,0,14.6,0,0,,
1958/6,143.4,0,45.7,0,0,,
1958/7,64.9,0,32.9,0,0,,
1958/8,100.0,0,32.5,0,0,,
1958/9,183.3,0,56.8,0,1,,
1958/10,157.2,0,26.9,0,0,,
1958/11,71.7,0,23.4,0,0,,
1958/12,59.3,0,15.0,0,0,,
1959/1,65.2,0,41.3,0,0,,
1959/2,129.6,0,33.3,0,0,,
1959/3,96.1,0,20.9,0,0,,
1959/4,126.1,0,30.2,0,0,,
1959/5,173.5,0,52.3,0,1,,
1959/6,82.2,0,25.0,0,0,,
1959/7,227.1,0,80.7,0,1,,
1959/8,232.6,0,123.4,0,2,,
1959/9,144.3,0,60.1,0,1,,
1959/10,80.9,0,38.3,0,0,,
1959/11,83.4,0,38.2,0,0,,
1959/12,75.7,0,37.7,0,0,,
1960/1,19.7,0,12.3,0,0,,
1960/2,13.4,0,5.5,0,0,,
1960/3,41.8,0,12.5,0,0,,
1960/4,117.9,0,33.3,0,0,,
1960/5,240.6,0,112.3,0,1,,
1960/6,157.3,0,68.9,0,1,,
1960/7,139.6,0,43.6,0,0,,
1960/8,388.5,0,142.2,0,2,,
1960/9,186.1,0,48.2,0,0,,
1960/10,84.3,0,32.3,0,0,,
1960/11,93.0,0,40.1,0,0,,
1960/12,33.3,0,13.1,0,0,,
1961/1,58.9,0,24.3,0,0,,
1961/2,34.7,0,15.0,0,0,,
1961/3,80.6,0,21.5,0,0,,
1961/4,136.0,0,34.4,0,0,,
1961/5,109.8,0,31.7,0,0,,
1961/6,584.2,0,195.2,0,4,,
1961/7,82.5,0,28.9,0,0,,
1961/8,30.2,0,10.1,0,0,,
1961/9,155.6,0,104.0,0,1,,
1961/10,260.4,0,91.1,0,2,,
1961/11,77.2,0,28.5,0,0,,
1961/12,20.9,0,18.0,0,0,,
1962/1,37.8,0,14.8,0,0,,
1962/2,14.1,0,8.4,0,0,,
1962/3,39.8,0,13.2,0,0,,
1962/4,135.3,0,31.1,0,0,,
1962/5,133.3,0,41.8,0,0,,
1962/6,435.2,0,130.1,0,3,,
1962/7,195.0,0,61.3,0,1,,
1962/8,16.7,0,10.4,0,0,,
1962/9,19.7,0,9.9,0,0,,
1962/10,64.5,0,28.7,0,0,,
1962/11,59.8,0,19.6,0,0,,
1962/12,81.4,0,35.9,0,0,,
1963/1,38.1,0,12.7,0,0,,
1963/2,30.8,0,17.6,0,0,,
1963/3,99.6,0,27.8,0,0,,
1963/4,191.4,0,64.5,0,1,,
1963/5,311.9,0,39.8,0,0,,
1963/6,184.1,0,33.3,0,0,,
1963/7,75.4,0,23.0,0,0,,
1963/8,127.2,0,64.2,0,1,,
1963/9,111.0,0,25.5,0,0,,
1963/10,77.6,0,33.0,0,0,,
1963/11,36.8,0,10.0,0,0,,
1963/12,16.5,0,4.9,0,0,,
1964/1,78.4,0,23.1,0,0,,
1964/2,72.5,0,23.4,0,0,,
1964/3,72.4,0,19.2,0,0,,
1964/4,160.0,0,43.8,0,0,,
1964/5,76.6,0,25.2,0,0,,
1964/6,170.1,0,97.1,0,1,,
1964/7,116.7,0,36.6,0,0,,
1964/8,33.9,0,13.2,0,0,,
1964/9,138.4,0,45.7,0,0,,
1964/10,81.8,0,30.3,0,0,,
1964/11,72.2,0,41.1,0,0,,
1964/12,13.2,0,4.3,0,0,,
1965/1,55.3,0,27.6,0,0,,
1965/2,21.2,0,5.7,0,0,,
1965/3,95.3,0,60.3,0,1,,
1965/4,84.9,0,34.5,0,0,,
1965/5,268.2,0,106.3,0,2,,
1965/6,132.4,0,23.2,0,0,,
1965/7,235.7,0,65.0,0,1,,
1965/8,2.8,0,2.2,0,0,,
1965/9,558.6,0,219.4,0,5,,
1965/10,95.5,0,72.0,0,1,,
1965/11,130.9,0,46.6,0,0,,
1965/12,45.7,0,9.6,0,0,,
1966/1,62.8,0,18.9,0,0,,
1966/2,67.1,0,27.7,0,0,,
1966/3,182.6,0,39.5,0,0,,
1966/4,103.4,0,24.0,0,0,,
1966/5,189.4,0,49.2,0,0,,
1966/6,210.7,0,44.3,0,0,,
1966/7,188.4,0,78.7,0,2,,
1966/8,100.9,0,40.2,0,0,,
1966/9,209.8,0,95.7,0,1,,
1966/10,75.6,0,46.1,0,0,,
1966/11,50.6,0,14.9,0,0,,
1966/12,28.7,0,19.1,0,0,,
1967/1,57.4,0,30.0,0,0,,
1967/2,28.1,0,7.0,0,0,,
1967/3,137.0,0,26.3,0,0,,
1967/4,241.1,0,36.4,0,0,,
1967/5,53.4,0,16.5,0,0,,
1967/6,119.4,0,64.3,0,1,,
1967/7,520.8,0,319.4,0,2,,
1967/8,15.5,0,5.5,0,0,,
1967/9,37.2,0,11.2,0,0,,
1967/10,142.3,0,76.7,0,1,,
1967/11,66.7,0,17.0,0,0,,
1967/12,10.6,0,4.9,0,0,,
1968/1,24.5,0,14.0,0,0,,
1968/2,52.5,0,29.0,0,0,,
1968/3,67.0,0,20.0,0,0,,
1968/4,86.0,0,29.5,0,0,,
1968/5,84.5,0,29.5,0,0,,
1968/6,78.5,0,15.5,0,0,,
1968/7,213.5,0,64.0,0,2,,
1968/8,159.5,0,72.5,0,1,,
1968/9,192.5,0,58.0,0,1,,
1968/10,124.0,0,36.0,0,0,,
1968/11,35.0,0,16.5,0,0,,
1968/12,79.0,0,23.5,0,0,,
1969/1,56.5,0,14.5,0,0,,
1969/2,76.0,0,24.0,0,0,,
1969/3,139.0,0,38.0,0,0,,
1969/4,93.0,0,34.0,0,0,,
1969/5,112.5,0,26.0,0,0,,
1969/6,396.0,0,115.5,0,2,,
1969/7,178.0,0,52.5,0,1,,
1969/8,77.5,0,41.5,0,0,,
1969/9,28.0,0,9.5,0,0,,
1969/10,56.5,0,36.5,0,0,,
1969/11,89.0,0,47.0,0,0,,
1969/12,48.5,0,46.5,0,0,,
1970/1,50.5,0,47.5,0,0,,
1970/2,38.0,0,10.0,0,0,,
1970/3,39.5,0,13.0,0,0,,
1970/4,201.5,0,50.5,0,1,,
1970/5,122.0,0,38.5,0,0,,
1970/6,332.5,0,53.0,0,1,,
1970/7,158.0,0,49.0,0,0,,
1970/8,86.0,0,33.0,0,0,,
1970/9,207.5,0,53.0,0,2,,
1970/10,89.0,0,31.0,0,0,,
1970/11,94.5,0,42.5,0,0,,
1970/12,39.5,0,11.0,0,0,,
1971/1,25.5,0,10.5,0,0,,
1971/2,39.5,0,10.0,0,0,,
1971/3,79.5,0,23.5,0,0,,
1971/4,135.5,0,29.0,0,0,,
1971/5,203.0,0,50.5,0,1,,
1971/6,165.5,0,40.0,0,0,,
1971/7,145.5,0,24.5,0,0,,
1971/8,178.5,0,81.0,0,2,,
1971/9,193.5,0,54.5,0,1,,
1971/10,101.0,0,22.0,0,0,,
1971/11,5.5,0,3.5,0,0,,
1971/12,67.0,0,24.5,0,0,,
1972/1,73.0,0,24.5,0,0,,
1972/2,131.0,0,40.5,0,0,,
1972/3,88.0,0,23.0,0,0,,
1972/4,172.0,0,37.0,0,0,,
1972/5,97.0,0,18.5,0,0,,
1972/6,202.5,0,55.5,0,1,,
1972/7,335.0,0,152.0,0,1,,
1972/8,175.0,0,88.0,0,1,,
1972/9,274.0,0,110.5,0,2,,
1972/10,69.0,0,21.5,0,0,,
1972/11,62.0,0,20.5,0,0,,
1972/12,41.0,0,11.5,0,0,,
1973/1,104.0,0,35.5,0,0,,
1973/2,32.0,0,10.0,0,0,,
1973/3,14.0,0,6.0,0,0,,
1973/4,218.5,0,40.0,0,0,,
1973/5,122.0,0,55.0,0,1,,
1973/6,79.5,0,24.0,0,0,,
1973/7,19.0,0,5.5,0,0,,
1973/8,43.5,0,14.0,0,0,,
1973/9,140.5,0,27.5,0,0,,
1973/10,149.0,0,68.5,0,1,,
1973/11,4.0,0,2.0,0,0,,
1973/12,9.0,0,3.5,0,0,,
1974/1,15.5,0,15.5,0,0,,
1974/2,95.5,0,35.5,0,0,,
1974/3,72.0,0,14.0,0,0,,
1974/4,171.0,0,74.0,0,1,,
1974/5,111.0,0,46.5,0,0,,
1974/6,184.0,0,51.5,0,2,,
1974/7,221.5,0,41.0,0,0,,
1974/8,194.0,0,65.5,0,2,,
1974/9,259.5,0,83.5,0,2,,
1974/10,164.5,0,45.5,0,0,,
1974/11,79.5,0,70.0,0,1,,
1974/12,60.0,0,25.0,0,0,,
1975/1,36.0,0,17.0,0,0,,
1975/2,45.0,0,17.0,0,0,,
1975/3,37.0,0,25.0,0,0,,
1975/4,176.5,0,28.0,0,0,,
1975/5,42.0,0,12.5,0,0,,
1975/6,171.0,0,47.0,0,0,,
1975/7,202.0,0,52.5,0,2,,
1975/8,173.0,0,72.5,0,1,,
1975/9,105.5,0,65.0,0,1,,
1975/10,264.0,0,77.0,0,1,,
1975/11,97.5,0,45.5,0,0,,
1975/12,64.0,0,29.0,0,0,,
1976/1,9.5,0,3.5,0,0,,
1976/2,85.5,0,19.0,0,0,,
1976/3,96.0,0,35.0,0,0,,
1976/4,139.0,0,46.5,0,0,,
1976/5,157.0,0,46.0,0,0,,
1976/6,165.0,0,36.0,0,0,,
1976/7,86.0,0,36.5,0,0,,
1976/8,112.5,0,44.0,0,0,,
